Designator,Mid X,Mid Y,Rotation,Layer
C1,179.85,-27.4,270.0,top
C10,162.75,-99.4,270.0,top
C11,168.25,-86.7,90.0,top
C12,162.75,-86.7,90.0,top
C13,183.805375,-86.582125,90.0,top
C14,183.805375,-99.294625,270.0,top
C2,178.305375,-86.582125,90.0,top
C3,178.305375,-99.294625,270.0,top
C4,159.55,-106.5125,270.0,top
C5,147.65,-99.5875,270.0,top
C6,153.15,-99.6375,270.0,top
C7,147.65,-86.7875,90.0,top
C8,153.15,-86.7875,90.0,top
C9,168.25,-99.4,270.0,top
D1,184.65,-26.8,0.0,top
J1,156.949,-127.657,0.0,top
J2,180.35,-53.21,0.0,top
R1,143.675,-49.9,0.0,top
R2,143.68,-52.4,0.0,top
R3,143.665,-57.475,0.0,top
R4,143.675,-60.025,0.0,top
R5,143.675,-62.6,0.0,top
R6,143.675,-65.1,0.0,top
R7,172.84,-92.8,270.0,top
U1,181.055375,-92.944625,0.0,top
U2,159.0,-49.385,0.0,top
U3,150.4,-93.2,0.0,top
U4,165.5,-93.05,0.0,top
U5,163.9,-108.9,0.0,top
